epoch,data_loss,physics_loss,total_loss,hA
1,0.04625652454573135,0.00041478843220696377,0.04629800338006902,9.999999747378752e-06
2,0.006269560003663139,0.0004268964728823119,0.006312249652047088,9.999999747378752e-06
3,0.006120383767909333,0.0004269829299709025,0.006163082054033329,9.999999747378752e-06
4,0.006041356055851765,0.00042711130860268907,0.006084067182831266,9.999999747378752e-06
5,0.006002157693983553,0.00042707487292684837,0.006044865197598846,9.999999747378752e-06
6,0.005935653196251742,0.00042709000787289394,0.0059783621980100225,9.999999747378752e-06
7,0.00592475119548629,0.0004271598147406536,0.005967467175905963,9.999999747378752e-06
8,0.00586831269733762,0.0004270969345407253,0.005911022391923034,9.999999747378752e-06
9,0.005909155728089679,0.00042714870631355487,0.005951870607339689,9.999999747378752e-06
10,0.005828618788562264,0.0004271940211050799,0.00587133818024375,9.999999747378752e-06
11,0.00582295225660588,0.0004271848433195302,0.005865670751667337,9.999999747378752e-06
12,0.005774791708931526,0.0004272152877263875,0.0058175132383369915,9.999999747378752e-06
13,0.005769959093586675,0.0004271589003229588,0.005812674970024791,9.999999747378752e-06
14,0.005752898757462279,0.00042718636851664225,0.00579561739123761,9.999999747378752e-06
15,0.005748839770330925,0.0004272624923785402,0.005791566005595538,9.999999747378752e-06
16,0.005751397639184591,0.00042716185540239547,0.0057941138366510905,9.999999747378752e-06
17,0.0057185636091265975,0.00042726547165944465,0.0057612901641062395,9.999999747378752e-06
18,0.005760984671588596,0.0004272407636644361,0.005803708746033808,9.999999747378752e-06
19,0.005698042812716596,0.0004272268515666323,0.0057407655018951,9.999999747378752e-06
20,0.005693863913553545,0.0004272015080068746,0.0057365840722629555,9.999999747378752e-06
21,0.005678898569860359,0.0004273051431192247,0.00572162908469396,9.999999747378752e-06
22,0.005677700340251632,0.00042725810981508175,0.005720426146243661,9.999999747378752e-06
23,0.005642513262513997,0.00042720505417524475,0.005685233753175703,9.999999747378752e-06
24,0.005593635198045465,0.00042724256651298,0.005636359456639949,9.999999747378752e-06
25,0.005554314567682506,0.00042728590382767114,0.0055970431434519885,9.999999747378752e-06
26,0.005543456172865416,0.00042730638598272914,0.005586186808758587,9.999999747378752e-06
27,0.005492137584979375,0.00042730415444307106,0.005534867995606184,9.999999747378752e-06
28,0.005465307393330205,0.00042730851185467236,0.005508038254645073,9.999999747378752e-06
29,0.005410113930896067,0.000427297014195159,0.0054528436247827435,9.999999747378752e-06
30,0.005378248054558959,0.00042735646751877266,0.005420983687550352,9.999999747378752e-06
31,0.005377126304588884,0.00042738356717599376,0.00541986466331465,9.999999747378752e-06
32,0.00531291978240612,0.00042740105880048574,0.00535565989174966,9.999999747378752e-06
